券商買賣股票成交價量資訊
股票代碼,="031068"
序號,券商,價格,買進股數,賣出股數,,序號,券商,價格,買進股數,賣出股數
1,1041臺銀鳳山,0.23,0,10000,,2,1043臺銀民權,0.22,100000,0 
3,104A臺銀臺中,0.22,2000,0,,4,104A臺銀臺中,0.24,0,1000 
5,104C臺銀高雄,0.21,0,50000,,6,1162日盛台南,0.23,0,10000 
7,1167日盛嘉義,0.22,3000,0,,8,116E日盛三重,0.22,50000,0 
9,116F日盛員林,0.21,3000,0,,10,116I日盛南京,0.21,0,13000 
11,116I日盛南京,0.22,0,37000,,12,2180亞    東,0.21,0,40000 
13,5266大慶中壢,0.22,0,100000,,14,5850統    一,0.22,50000,0 
15,592c元富烏日,0.25,100000,0,,16,592r元富城東,0.22,10000,0 
17,592r元富城東,0.25,10000,0,,18,6160中國信託,0.21,10000,0 
19,6160中國信託,0.22,25000,0,,20,6162中信託忠,0.22,30000,0 
21,6381光和溪湖,0.21,80000,0,,22,700W兆豐城中,0.22,10000,0 
23,700W兆豐城中,0.23,70000,0,,24,779v國票台中,0.23,25000,0 
25,8151台新建北,0.23,20000,0,,26,8159台新台南,0.24,5000,0 
27,815A台新高雄,0.22,20000,0,,28,815B台新台中,0.22,20000,0 
29,8560新    光,0.22,70000,0,,30,8560新    光,0.23,2000,0 
31,8561新光台中,0.22,23000,5000,,32,8561新光台中,0.23,0,20000 
33,8562新光高雄,0.22,10000,0,,34,8562新光高雄,0.26,10000,0 
35,8564新光台南,0.22,0,200000,,36,8840玉    山,0.22,100000,0 
37,8840玉    山,0.23,100000,0,,38,8842玉山新莊,0.22,10000,0 
39,8842玉山新莊,0.23,10000,0,,40,8842玉山新莊,0.24,10000,0 
41,884J玉山大里,0.21,100000,0,,42,8881國泰高雄,0.22,5000,0 
43,8881國泰高雄,0.23,10000,0,,44,8881國泰高雄,0.24,5000,0 
45,8882國泰台中,0.22,90000,10000,,46,8884國泰台南,0.22,70000,0 
47,8884國泰台南,0.23,18000,0,,48,8884國泰台南,0.24,10000,0 
49,8884國泰台南,0.25,10000,0,,50,8885國泰桃園,0.22,40000,0 
51,8885國泰桃園,0.23,65000,0,,52,8885國泰桃園,0.24,30000,0 
53,8888國泰敦南,0.21,1000,0,,54,8888國泰敦南,0.22,299000,50000 
55,8888國泰敦南,0.23,2000,0,,56,8888國泰敦南,0.24,0,10000 
57,8888國泰敦南,0.25,0,10000,,58,888A國泰館前,0.22,5000,0 
59,888A國泰館前,0.23,5000,0,,60,888K國泰板橋,0.22,130000,0 
61,888K國泰板橋,0.24,30000,0,,62,888K國泰板橋,0.26,30000,0 
63,9100群益,0.23,30000,0,,64,9101群益敦南,0.22,25000,0 
65,913g群益三重,0.23,10000,0,,66,913U群益崇德,0.22,50000,0 
67,913U群益崇德,0.23,20000,0,,68,913U群益崇德,0.24,30000,0 
69,913U群益崇德,0.26,0,20000,,70,9184群益台中,0.24,5000,0 
71,918P群益天母,0.21,20000,0,,72,918P群益天母,0.23,20000,0 
73,9215凱基高美,0.22,30000,0,,74,921S凱基幸福,0.22,50000,0 
75,922C凱基屏東,0.22,0,166000,,76,922C凱基屏東,0.23,0,180000 
77,922C凱基屏東,0.24,0,19000,,78,922H凱基復興,0.22,0,50000 
79,9233凱基長庚,0.21,0,30000,,80,9233凱基長庚,0.24,0,10000 
81,9252凱基嘉義,0.22,50000,0,,82,9266凱基新豐,0.22,5000,0 
83,9266凱基新豐,0.24,5000,0,,84,9268凱基台北,0.24,50000,0 
85,9300華南永昌,0.23,0,50000,,86,9300華南永昌,0.24,0,60000 
87,9302華南台中,0.25,6000,0,,88,9309華南古亭,0.22,0,25000 
89,9349華南合泰,0.23,100000,0,,90,9363華南彰化,0.26,0,1000 
91,9623富邦台北,0.23,1000,0,,92,9627富邦內湖,0.21,20000,0 
93,9634富邦羅東,0.21,50000,0,,94,9636富邦中壢,0.22,140000,0 
95,9636富邦中壢,0.23,150000,0,,96,9636富邦中壢,0.24,50000,0 
97,9636富邦中壢,0.26,0,68000,,98,9647富邦新竹,0.22,0,20000 
99,965K富邦台中,0.22,10000,0,,100,965K富邦台中,0.23,10000,0 
101,965K富邦台中,0.24,20000,0,,102,9663富邦敦南,0.22,3000,0 
103,9672富邦員林,0.22,15000,0,,104,9677富邦三重,0.23,50000,0 
105,9677富邦三重,0.24,23000,0,,106,9800元大,0.21,170000,386000 
107,9800元大,0.22,519000,2296000,,108,9800元大,0.23,50000,936000 
109,9800元大,0.24,141000,448000,,110,9800元大,0.25,0,58000 
111,9800元大,0.26,14000,0,,112,980C元大斗六,0.24,0,101000 
113,980C元大斗六,0.25,0,150000,,114,981C元大路竹,0.20,0,100000 
115,981C元大路竹,0.21,0,100000,,116,981C元大路竹,0.23,20000,0 
117,981C元大路竹,0.25,20000,0,,118,981g元大大里,0.22,69000,0 
119,981i元大西螺,0.22,10000,0,,120,981i元大西螺,0.25,10000,0 
121,981i元大西螺,0.26,10000,0,,122,981K元大林園,0.22,20000,0 
123,981n元大旗山,0.22,0,3000,,124,981y元大善化,0.22,10000,40000 
125,9822元大學府,0.22,40000,80000,,126,9822元大學府,0.23,40000,0 
127,9831元大四維,0.21,5000,0,,128,9834元大中壢,0.23,0,5000 
129,9837元大北港,0.22,0,20000,,130,983i元大大雅,0.22,5000,0 
131,983M元大木柵,0.22,10000,0,,132,983M元大木柵,0.23,20000,0 
133,983N元大大安,0.22,45000,0,,134,983N元大大安,0.26,15000,0 
135,983W元大德芳,0.21,10000,0,,136,983W元大德芳,0.23,20000,0 
137,983Z元大鳳山,0.21,0,40000,,138,9852元大永春,0.20,100000,0 
139,9854元大興安,0.22,10000,0,,140,9854元大興安,0.23,10000,0 
141,9857元大東蘆,0.23,50000,0,,142,9857元大東蘆,0.24,100000,0 
143,985C元大鳳中,0.22,0,13000,,144,985C元大鳳中,0.23,25000,10000 
145,985C元大鳳中,0.24,79000,0,,146,985C元大鳳中,0.25,12000,20000 
147,986K元大基孝,0.24,3000,0,,148,9872元大復北,0.25,20000,0 
149,9872元大復北,0.26,20000,0,,150,9879元大板三,0.22,5000,0 
151,9879元大板三,0.23,20000,0,,152,987A元大楊梅,0.21,150000,0 
153,987A元大楊梅,0.22,310000,0,,154,987A元大楊梅,0.23,150000,0 
155,987A元大楊梅,0.24,100000,0,,156,9899元大淡水,0.23,50000,0 
157,989E元大草屯,0.26,0,10000,,158,989I元大蘆洲,0.22,250000,0 
159,989N元大內湖,0.23,20000,0,,160,9A00永豐金,0.22,220000,0 
161,9A00永豐金,0.23,35000,0,,162,9A00永豐金,0.24,0,47000 
163,9A00永豐金,0.25,80000,32000,,164,9A92永豐萬盛,0.22,12000,0 
165,9A9B永豐中和,0.21,100000,0,,166,9A9e永豐高雄,0.21,0,100000 
167,9A9e永豐高雄,0.23,0,7000,,168,9A9N永豐桃盛,0.21,40000,0 
169,9A9N永豐桃盛,0.22,30000,0,,170,9A9q永豐潮州,0.25,2000,0 
