,序號,券商,價格,買進股數,賣出股數
0,1,1020合　　庫,560.0,12000,0
0,2,1020合　　庫,561.0,4060,0
1,3,1020合　　庫,562.0,3000,3000
1,4,1020合　　庫,563.0,1000,100
2,5,1020合　　庫,564.0,1000,2000
2,6,1020合　　庫,565.0,1000,30
3,7,1020合　　庫,566.0,50,1000
3,8,1020合　　庫,567.0,0,1000
4,9,1020合　　庫,569.0,5000,0
4,10,1020合　　庫,570.0,1000,3000
5,11,1020合　　庫,571.0,1000,0
5,12,1020合　　庫,572.0,2000,0
6,13,1021合庫台中,559.0,5000,1000
6,14,1021合庫台中,560.0,2000,0
7,15,1021合庫台中,561.0,1000,0
7,16,1021合庫台中,562.0,7000,200
8,17,1021合庫台中,563.0,6200,0
8,18,1021合庫台中,564.0,0,1000
9,19,1021合庫台中,565.0,1000,0
9,20,1021合庫台中,566.0,2000,1000
10,21,1021合庫台中,571.0,0,50
10,22,1021合庫台中,572.0,1000,0
11,23,1021合庫台中,573.0,0,1000
11,24,1022合庫台南,560.0,1100,1000
12,25,1022合庫台南,562.0,1000,0
12,26,1022合庫台南,563.0,20,0
13,27,1022合庫台南,564.0,20,0
13,28,1022合庫台南,565.0,300,0
14,29,1022合庫台南,573.0,1000,0
14,30,1023合庫高雄,558.0,5000,0
15,31,1023合庫高雄,561.0,4030,0
15,32,1023合庫高雄,562.0,1000,0
16,33,1023合庫高雄,563.0,3000,0
16,34,1023合庫高雄,564.0,1000,0
17,35,1023合庫高雄,565.0,30,7000
17,36,1023合庫高雄,567.0,1000,0
18,37,1023合庫高雄,570.0,30,0
18,38,1024合庫嘉義,558.0,0,1000
19,39,1024合庫嘉義,562.0,1000,0
19,40,1024合庫嘉義,566.0,100,0
20,41,1025合庫基隆,563.0,200,0
20,42,1025合庫基隆,564.0,1000,0
21,43,1028合庫彰化,560.0,1000,0
21,44,1028合庫彰化,565.0,0,1000
22,45,1029合庫鳳山,559.0,1000,0
22,46,1029合庫鳳山,560.0,1000,0
23,47,1029合庫鳳山,562.0,1000,0
23,48,1029合庫鳳山,565.0,0,1000
24,49,1029合庫鳳山,566.0,1000,0
24,50,1029合庫鳳山,571.0,0,1000
